TITLE,Zip Code,HIRE DATE
STUDENT INTERN,60628,6/16/2015
STUDENT INTERN,60626,6/8/2015
STUDENT INTERN,60613,6/16/2015
STUDENT INTERN,60626,6/16/2015
STUDENT INTERN,63126,11/17/2015
STUDENT INTERN,61242,4/1/2015
STUDENT INTERN,60608,12/1/2015
STUDENT INTERN,60615,6/12/2015
STUDENT INTERN,60660,6/8/2015
STUDENT INTERN,60611,9/21/2015
STUDENT INTERN,48152,12/14/2015
STUDENT INTERN,60616,6/16/2015
STUDENT INTERN,60660,6/17/2015
STUDENT INTERN,60622,6/16/2015
STUDENT INTERN,60633,8/24/2015
STUDENT INTERN,60646,6/8/2015
STUDENT INTERN,60619,5/4/2015
STUDENT INTERN,60647,5/11/2015
STUDENT INTERN,60647,4/27/2015
STUDENT INTERN,60619,5/4/2015
STUDENT INTERN,60616,6/12/2015
STUDENT INTERN,60632,6/3/2015
STUDENT INTERN,60628,7/13/2015
STUDENT INTERN,60632,5/6/2015
STUDENT INTERN,60645,4/1/2015
STUDENT INTERN,60643,4/13/2015
STUDENT INTERN,60657,4/13/2015
STUDENT INTERN,60659,5/4/2015
STUDENT INTERN,60629,5/4/2015
STUDENT INTERN,60618,9/28/2015
STUDENT INTERN,60615,6/16/2015
STUDENT INTERN,60613,5/4/2015
STUDENT INTERN,60616,7/27/2015
STUDENT INTERN,60625,6/16/2015
STUDENT INTERN - ALDERMANIC,60617,6/8/2015
STUDENT INTERN - ALDERMANIC,60617,6/8/2015
STUDENT INTERN - ALDERMANIC,60647,6/8/2015
STUDENT INTERN - ALDERMANIC,60649,6/8/2015
STUDENT INTERN - ALDERMANIC,60628,6/8/2015
STUDENT INTERN - ALDERMANIC,60618,6/8/2015
STUDENT INTERN - ALDERMANIC,60612,6/8/2015
STUDENT INTERN - ALDERMANIC,60629,6/8/2015
STUDENT INTERN - ALDERMANIC,60638,6/8/2015
STUDENT INTERN - ALDERMANIC,60660,6/8/2015
STUDENT INTERN - ALDERMANIC,60607,6/10/2015
STUDENT INTERN - ALDERMANIC,60644,7/16/2015
STUDENT INTERN - ALDERMANIC,60617,6/8/2015
STUDENT INTERN - ALDERMANIC,60618,6/8/2015
STUDENT INTERN - ALDERMANIC,60615,7/1/2015
STUDENT INTERN - ALDERMANIC,60661,6/8/2015
STUDENT INTERN - ALDERMANIC,60623,6/8/2015
STUDENT INTERN - ALDERMANIC,60632,6/8/2015
STUDENT INTERN - ALDERMANIC,60620,6/8/2015
STUDENT INTERN - ALDERMANIC,60620,6/8/2015
STUDENT INTERN - ALDERMANIC,60614,6/8/2015
STUDENT INTERN - ALDERMANIC,60634,6/8/2015
STUDENT INTERN - ALDERMANIC,60651,6/8/2015
STUDENT INTERN - ALDERMANIC,60660,6/8/2015
STUDENT INTERN - ALDERMANIC,60632,6/29/2015
STUDENT INTERN - ALDERMANIC,60639,6/8/2015
STUDENT INTERN - ALDERMANIC,60643,6/8/2015
STUDENT INTERN - ALDERMANIC,60619,6/8/2015
STUDENT INTERN - ALDERMANIC,60629,6/8/2015
STUDENT INTERN - ALDERMANIC,60649,6/8/2015
STUDENT INTERN - ALDERMANIC,60626,6/8/2015
STUDENT INTERN - ALDERMANIC,60622,6/8/2015
STUDENT INTERN - ALDERMANIC,60609,6/8/2015
STUDENT INTERN - ALDERMANIC,60655,6/8/2015
STUDENT INTERN - ALDERMANIC,60631,6/8/2015
STUDENT INTERN - ALDERMANIC,60626,6/8/2015
STUDENT INTERN - ALDERMANIC,60626,6/8/2015
STUDENT INTERN - ALDERMANIC,60618,6/8/2015
STUDENT INTERN - ALDERMANIC,60620,6/8/2015
STUDENT INTERN - ALDERMANIC,60645,6/8/2015
STUDENT INTERN - ALDERMANIC,60632,6/8/2015
STUDENT INTERN - ALDERMANIC,60625,6/8/2015
STUDENT INTERN - ALDERMANIC,60620,6/8/2015
STUDENT INTERN - ALDERMANIC,60646,6/8/2015
STUDENT INTERN - ALDERMANIC,60646,6/8/2015
STUDENT INTERN - ALDERMANIC,60707,6/8/2015
STUDENT INTERN - ALDERMANIC,60631,6/8/2015
STUDENT INTERN - ALDERMANIC,60643,6/8/2015
STUDENT INTERN - ALDERMANIC,60608,6/8/2015
STUDENT INTERN - CITY CLERK,60628,5/26/2015
STUDENT INTERN - CITY CLERK,60629,12/16/2015
STUDENT INTERN - CITY CLERK,60621,5/27/2015
STUDENT INTERN - CITY CLERK,60639,5/26/2015
STUDENT INTERN - CITY CLERK,60639,5/26/2015
STUDENT INTERN - CITY CLERK,60617,5/26/2015
STUDENT INTERN - CITY CLERK,60624,5/26/2015
STUDENT INTERN - CITY CLERK,60652,5/26/2015
STUDENT INTERN - CITY CLERK,60625,5/26/2015
STUDENT INTERN - CITY CLERK,60632,5/26/2015
STUDENT INTERN - CITY CLERK,60633,5/26/2015
STUDENT INTERN - CITY CLERK,60620,6/4/2015
STUDENT INTERN - CITY CLERK,60619,5/6/2015
STUDENT INTERN - CITY CLERK,60626,6/5/2015
STUDENT INTERN - CITY CLERK,60631,5/26/2015
STUDENT INTERN - CITY CLERK,60628,5/26/2015
STUDENT INTERN - CITY CLERK,60616,6/12/2015
STUDENT INTERN - CITY CLERK,60631,12/15/2015
STUDENT INTERN - CITY CLERK,60619,5/26/2015
STUDENT INTERN - CITY CLERK,60616,5/26/2015
STUDENT INTERN - CITY CLERK,60660,5/26/2015
STUDENT INTERN - CITY CLERK,60619,5/26/2015
STUDENT INTERN - CITY CLERK,60616,6/12/2015
STUDENT INTERN - CITY CLERK,60616,8/16/2015
STUDENT INTERN - MAYOR'S FELLOWS,60657,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60611,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60615,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60660,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60657,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60657,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60614,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60637,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60615,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60614,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60614,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60608,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60640,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60614,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60661,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60640,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,19130,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60657,6/3/2015
STUDENT INTERN - MAYOR'S FELLOWS,60611,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60615,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60622,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60607,6/15/2015
STUDENT INTERN - MAYOR'S FELLOWS,60611,6/15/2015
STUDENT INTERN,60616,6/7/2016
STUDENT INTERN,60608,6/6/2016
STUDENT INTERN,60639,11/16/2016
STUDENT INTERN,60629,5/23/2016
STUDENT INTERN,60615,9/8/2016
STUDENT INTERN,60617,2/16/2016
STUDENT INTERN,60605,3/22/2016
STUDENT INTERN,60618,7/25/2016
STUDENT INTERN,60632,12/16/2016
STUDENT INTERN,60640,7/14/2016
STUDENT INTERN,60607,11/28/2016
STUDENT INTERN,60623,7/18/2016
STUDENT INTERN,60625,6/30/2016
STUDENT INTERN,60614,6/7/2016
STUDENT INTERN,60616,7/18/2016
STUDENT INTERN,60637,3/24/2016
STUDENT INTERN,60615,6/30/2016
STUDENT INTERN,60619,5/16/2016
STUDENT INTERN,60619,6/1/2016
STUDENT INTERN,60614,7/14/2016
STUDENT INTERN,44273,3/29/2016
STUDENT INTERN,60616,11/22/2016
STUDENT INTERN,60632,7/18/2016
STUDENT INTERN,60616,2/16/2016
STUDENT INTERN,60601,9/19/2016
STUDENT INTERN,60607,7/18/2016
STUDENT INTERN,60616,6/6/2016
STUDENT INTERN,60612,8/15/2016
STUDENT INTERN,60699,11/21/2016
STUDENT INTERN,60615,11/3/2016
STUDENT INTERN,60634,8/1/2016
STUDENT INTERN,60608,6/21/2016
STUDENT INTERN,60617,7/18/2016
STUDENT INTERN,60617,4/5/2016
STUDENT INTERN,60615,7/18/2016
STUDENT INTERN,60631,6/30/2016
STUDENT INTERN,60645,7/25/2016
STUDENT INTERN,60645,7/18/2016
STUDENT INTERN,60647,12/15/2016
STUDENT INTERN,60629,7/16/2016
STUDENT INTERN,60623,6/30/2016
STUDENT INTERN,60632,7/18/2016
STUDENT INTERN,60622,5/16/2016
STUDENT INTERN,60616,6/7/2016
STUDENT INTERN,60625,12/15/2016
STUDENT INTERN,60613,7/14/2016
STUDENT INTERN - ALDERMANIC,60617,6/6/2016
STUDENT INTERN - ALDERMANIC,60643,6/28/2016
STUDENT INTERN - ALDERMANIC,60646,6/6/2016
STUDENT INTERN - ALDERMANIC,60634,6/6/2016
STUDENT INTERN - ALDERMANIC,60623,6/6/2016
STUDENT INTERN - ALDERMANIC,60647,6/6/2016
STUDENT INTERN - ALDERMANIC,60629,6/6/2016
STUDENT INTERN - ALDERMANIC,60651,6/6/2016
STUDENT INTERN - ALDERMANIC,60619,6/6/2016
STUDENT INTERN - ALDERMANIC,60612,6/6/2016
STUDENT INTERN - ALDERMANIC,60657,7/5/2016
STUDENT INTERN - ALDERMANIC,60622,6/6/2016
STUDENT INTERN - ALDERMANIC,60641,6/6/2016
STUDENT INTERN - ALDERMANIC,60608,6/6/2016
STUDENT INTERN - ALDERMANIC,60617,6/6/2016
STUDENT INTERN - ALDERMANIC,60638,6/6/2016
STUDENT INTERN - ALDERMANIC,60649,6/6/2016
STUDENT INTERN - ALDERMANIC,60620,6/6/2016
STUDENT INTERN - ALDERMANIC,60645,6/6/2016
STUDENT INTERN - ALDERMANIC,60660,6/6/2016
STUDENT INTERN - ALDERMANIC,60618,6/6/2016
STUDENT INTERN - ALDERMANIC,60624,6/6/2016
STUDENT INTERN - ALDERMANIC,60626,6/6/2016
STUDENT INTERN - ALDERMANIC,60632,6/6/2016
STUDENT INTERN - ALDERMANIC,60643,6/6/2016
STUDENT INTERN - ALDERMANIC,60615,6/21/2016
STUDENT INTERN - ALDERMANIC,60619,6/6/2016
STUDENT INTERN - ALDERMANIC,60614,6/6/2016
STUDENT INTERN - ALDERMANIC,60655,6/1/2016
STUDENT INTERN - ALDERMANIC,60652,6/6/2016
STUDENT INTERN - ALDERMANIC,60707,6/6/2016
STUDENT INTERN - ALDERMANIC,60616,6/13/2016
STUDENT INTERN - ALDERMANIC,60635,6/6/2016
STUDENT INTERN - ALDERMANIC,60613,6/6/2016
STUDENT INTERN - ALDERMANIC,60616,6/6/2016
STUDENT INTERN - ALDERMANIC,60611,6/29/2016
STUDENT INTERN - ALDERMANIC,60620,6/6/2016
STUDENT INTERN - ALDERMANIC,60632,6/6/2016
STUDENT INTERN - ALDERMANIC,60625,6/6/2016
STUDENT INTERN - ALDERMANIC,60624,6/6/2016
STUDENT INTERN - ALDERMANIC,60617,6/1/2016
STUDENT INTERN - ALDERMANIC,60646,6/6/2016
STUDENT INTERN - ALDERMANIC,60617,6/6/2016
STUDENT INTERN - ALDERMANIC,60614,6/6/2016
STUDENT INTERN - ALDERMANIC,60621,6/6/2016
STUDENT INTERN - ALDERMANIC,60607,6/13/2016
STUDENT INTERN - ALDERMANIC,60620,6/6/2016
STUDENT INTERN - ALDERMANIC,60639,6/6/2016
STUDENT INTERN - ALDERMANIC,60634,6/6/2016
STUDENT INTERN - CITY CLERK,60647,6/1/2016
STUDENT INTERN - CITY CLERK,60639,6/1/2016
STUDENT INTERN - CITY CLERK,60645,6/1/2016
STUDENT INTERN - CITY CLERK,60638,6/1/2016
STUDENT INTERN - CITY CLERK,60617,6/1/2016
STUDENT INTERN - CITY CLERK,60637,6/13/2016
STUDENT INTERN - CITY CLERK,60609,10/25/2016
STUDENT INTERN - CITY CLERK,60623,6/1/2016
STUDENT INTERN - CITY CLERK,60608,6/1/2016
STUDENT INTERN - CITY CLERK,60614,6/13/2016
STUDENT INTERN - CITY CLERK,60652,6/1/2016
STUDENT INTERN - CITY CLERK,60625,6/1/2016
STUDENT INTERN - CITY CLERK,60614,6/13/2016
STUDENT INTERN - CITY CLERK,60628,6/1/2016
STUDENT INTERN - CITY CLERK,60628,6/1/2016
STUDENT INTERN - CITY CLERK,60616,6/1/2016
STUDENT INTERN - CITY CLERK,60619,6/1/2016
STUDENT INTERN - CITY CLERK,60659,6/1/2016
STUDENT INTERN - CITY CLERK,60614,12/15/2016
STUDENT INTERN - CITY CLERK,60649,6/1/2016
STUDENT INTERN - CITY CLERK,60622,6/1/2016
STUDENT INTERN - CITY CLERK,60652,6/1/2016
STUDENT INTERN - CITY CLERK,60617,2/8/2016
STUDENT INTERN - CITY CLERK,60629,6/1/2016
STUDENT INTERN - CITY CLERK,60644,12/14/2016
STUDENT INTERN - CITY CLERK,60632,6/1/2016
STUDENT INTERN - CITY CLERK,60644,6/1/2016
STUDENT INTERN - MAYOR'S FELLOWS,60601,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60630,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60605,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60615,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60613,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60615,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60610,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60615,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60601,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,02138,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60637,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60605,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60615,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60610,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60613,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60625,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60601,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60615,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60614,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60643,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60601,6/13/2016
STUDENT INTERN - MAYOR'S FELLOWS,60601,6/13/2016
STUDENT INTERN,60616,6/26/2017
STUDENT INTERN,60619,12/11/2017
STUDENT INTERN,60625,6/26/2017
STUDENT INTERN,60631,6/12/2017
STUDENT INTERN,60653,7/6/2017
STUDENT INTERN,60617,7/6/2017
STUDENT INTERN,60607,6/26/2017
STUDENT INTERN,60655,10/31/2017
STUDENT INTERN,60625,6/23/2017
STUDENT INTERN,60616,6/27/2017
STUDENT INTERN,60614,5/15/2017
STUDENT INTERN,60632,6/26/2017
STUDENT INTERN,60626,8/28/2017
STUDENT INTERN,60642,7/6/2017
STUDENT INTERN,60645,6/26/2017
STUDENT INTERN,60640,6/23/2017
STUDENT INTERN,60629,6/26/2017
STUDENT INTERN,60614,6/26/2017
STUDENT INTERN,60608,10/24/2017
STUDENT INTERN,60646,6/1/2017
STUDENT INTERN,60617,6/26/2017
STUDENT INTERN,60657,6/26/2017
STUDENT INTERN,60654,7/13/2017
STUDENT INTERN,60641,6/26/2017
STUDENT INTERN,60647,7/24/2017
STUDENT INTERN,60629,6/28/2017
STUDENT INTERN,60622,6/26/2017
STUDENT INTERN,60639,11/17/2017
STUDENT INTERN,60660,6/16/2017
STUDENT INTERN,60620,6/23/2017
STUDENT INTERN,60640,6/26/2017
STUDENT INTERN,60640,7/12/2017
STUDENT INTERN,60629,12/13/2017
STUDENT INTERN,60647,9/16/2017
STUDENT INTERN,60655,6/26/2017
STUDENT INTERN,60626,6/19/2017
STUDENT INTERN,60623,6/26/2017
STUDENT INTERN,60639,7/11/2017
STUDENT INTERN,60605,9/18/2017
STUDENT INTERN,60609,12/14/2017
STUDENT INTERN,60618,6/26/2017
STUDENT INTERN,60628,6/26/2017
STUDENT INTERN,60637,6/28/2017
STUDENT INTERN,60611,11/1/2017
STUDENT INTERN - ALDERMANIC,60617,6/5/2017
STUDENT INTERN - ALDERMANIC,60643,6/13/2017
STUDENT INTERN - ALDERMANIC,60634,6/5/2017
STUDENT INTERN - ALDERMANIC,60628,6/5/2017
STUDENT INTERN - ALDERMANIC,60660,6/5/2017
STUDENT INTERN - ALDERMANIC,60609,6/5/2017
STUDENT INTERN - ALDERMANIC,60617,6/5/2017
STUDENT INTERN - ALDERMANIC,60647,6/7/2017
STUDENT INTERN - ALDERMANIC,60639,6/5/2017
STUDENT INTERN - ALDERMANIC,60619,6/12/2017
STUDENT INTERN - ALDERMANIC,60615,6/5/2017
STUDENT INTERN - ALDERMANIC,60638,6/5/2017
STUDENT INTERN - ALDERMANIC,60707,6/5/2017
STUDENT INTERN - ALDERMANIC,60619,6/5/2017
STUDENT INTERN - ALDERMANIC,60643,6/5/2017
STUDENT INTERN - ALDERMANIC,60617,6/5/2017
STUDENT INTERN - ALDERMANIC,60619,6/5/2017
STUDENT INTERN - ALDERMANIC,60651,6/15/2017
STUDENT INTERN - ALDERMANIC,60619,6/12/2017
STUDENT INTERN - ALDERMANIC,60655,6/1/2017
STUDENT INTERN - ALDERMANIC,60614,6/12/2017
STUDENT INTERN - ALDERMANIC,60614,6/5/2017
STUDENT INTERN - ALDERMANIC,60657,6/5/2017
STUDENT INTERN - ALDERMANIC,60657,11/27/2017
STUDENT INTERN - ALDERMANIC,60638,6/5/2017
STUDENT INTERN - ALDERMANIC,60649,6/13/2017
STUDENT INTERN - ALDERMANIC,60612,6/5/2017
STUDENT INTERN - ALDERMANIC,60625,6/5/2017
STUDENT INTERN - ALDERMANIC,60647,5/30/2017
STUDENT INTERN - ALDERMANIC,60666,6/6/2017
STUDENT INTERN - ALDERMANIC,60634,6/5/2017
STUDENT INTERN - ALDERMANIC,60639,6/5/2017
STUDENT INTERN - ALDERMANIC,60630,6/5/2017
STUDENT INTERN - ALDERMANIC,60632,6/5/2017
STUDENT INTERN - ALDERMANIC,60660,6/5/2017
STUDENT INTERN - ALDERMANIC,60623,6/5/2017
STUDENT INTERN - ALDERMANIC,60620,6/5/2017
STUDENT INTERN - ALDERMANIC,60624,6/5/2017
STUDENT INTERN - ALDERMANIC,60643,6/5/2017
STUDENT INTERN - ALDERMANIC,60645,6/5/2017
STUDENT INTERN - ALDERMANIC,60637,6/15/2017
STUDENT INTERN - ALDERMANIC,60621,6/5/2017
STUDENT INTERN - ALDERMANIC,60614,6/12/2017
STUDENT INTERN - ALDERMANIC,60657,6/5/2017
STUDENT INTERN - ALDERMANIC,60608,6/5/2017
STUDENT INTERN - ALDERMANIC,60631,6/5/2017
STUDENT INTERN - ALDERMANIC,60647,6/5/2017
STUDENT INTERN - ALDERMANIC,60641,6/5/2017
STUDENT INTERN - ALDERMANIC,60637,6/5/2017
STUDENT INTERN - ALDERMANIC,60652,6/5/2017
STUDENT INTERN - CITY CLERK,60615,6/1/2017
STUDENT INTERN - CITY CLERK,60646,6/1/2017
STUDENT INTERN - CITY CLERK,60638,6/1/2017
STUDENT INTERN - CITY CLERK,60616,6/1/2017
STUDENT INTERN - CITY CLERK,60616,6/1/2017
STUDENT INTERN - CITY CLERK,60620,6/1/2017
STUDENT INTERN - CITY CLERK,60609,6/1/2017
STUDENT INTERN - CITY CLERK,60636,6/1/2017
